episode,timestep,reward,length,recovered,collision,recovery_time,recovery_rate
1,1,-500.00,1,0,0,0,0.00
2,2,-500.00,1,0,0,0,0.00
3,3,-500.00,1,0,0,0,0.00
4,4,-500.00,1,0,0,0,0.00
5,5,-500.00,1,0,0,0,0.00
6,6,-500.00,1,0,0,0,0.00
7,7,-500.00,1,0,0,0,0.00
8,8,-500.00,1,0,0,0,0.00
9,9,-500.00,1,0,0,0,0.00
10,10,-500.00,1,0,0,0,0.00
11,11,-500.00,1,0,0,0,0.00
12,12,-500.00,1,0,0,0,0.00
13,13,-500.00,1,0,0,0,0.00
14,14,-500.00,1,0,0,0,0.00
15,15,-500.00,1,0,0,0,0.00
16,16,-500.00,1,0,0,0,0.00
17,17,-500.00,1,0,0,0,0.00
18,18,-500.00,1,0,0,0,0.00
19,19,-500.00,1,0,0,0,0.00
20,20,-500.00,1,0,0,0,0.00
21,21,-500.00,1,0,0,0,0.00
22,22,-500.00,1,0,0,0,0.00
23,23,-500.00,1,0,0,0,0.00
24,24,-500.00,1,0,0,0,0.00
25,25,-500.00,1,0,0,0,0.00
26,26,-500.00,1,0,0,0,0.00
27,27,-500.00,1,0,0,0,0.00
28,28,-500.00,1,0,0,0,0.00
29,29,-500.00,1,0,0,0,0.00
30,30,-500.00,1,0,0,0,0.00
31,31,-500.00,1,0,0,0,0.00
32,32,-500.00,1,0,0,0,0.00
33,33,-500.00,1,0,0,0,0.00
